Geneid	gene_name	product	interaction_log2FC	interaction_padj	NK01067_log2FC	NK01067_padj	dwbbM_log2FC	dwbbM_padj
M8Y62_15040	M8Y62_15040	cold-shock protein	1.62353865839919	1.85645471389489e-15	-0.65179422365361	0.000843631618089423	0.969069894952999	4.51840682395255e-18
M8Y62_26790	M8Y62_26790	DM13 domain-containing protein	1.39919822622539	1.98972119012243e-15	-1.4439937304533	6.9270166420057e-46	-0.0481462716651759	0.788209205151903
M8Y62_23070	M8Y62_23070	SulP family inorganic anion transporter	-3.49036389119221	2.1278906359897e-15	1.91987330940285	4.03573780181133e-10	-1.5735009040073	6.08130686672646e-06
M8Y62_26835	iucA	NIS family aerobactin synthetase IucA	-2.61907060825718	2.1278906359897e-15	3.153125772995	4.43071769246762e-44	0.530645917225515	0.0612200810911018
M8Y62_09035	clbE	colibactin biosynthesis aminomalonyl-acyl carrier protein ClbE	2.46546630520114	2.50368507625464e-15	-3.49709313415984	2.43428099803796e-100	-1.03508630136135	4.94273798476116e-07
M8Y62_10765	narH	nitrate reductase subunit beta	-2.37188274332063	2.6038908588461e-15	4.33194435944425	7.87505420659725e-71	1.95757446779893	7.787342294565e-29
M8Y62_07410	M8Y62_07410	DUF2213 domain-containing protein	1.53478120103243	2.74415592433128e-15	-2.47958230097	2.02539410352736e-60	-0.948998489483799	2.27091080071421e-08
M8Y62_26825	iucC	NIS family aerobactin synthetase IucC	-2.86339734145172	2.81963158362036e-15	3.10005984405103	1.34675530407224e-36	0.233006144100837	0.512992152076109
M8Y62_02635	rplU	50S ribosomal protein L21	1.1349734681216	3.08275020555674e-15	0.209706274407194	0.135357679421658	1.34147476614458	1.27887794715731e-31
M8Y62_21120	hemL	glutamate-1-semialdehyde 2%2C1-aminomutase	-1.42651627459725	3.08275020555674e-15	0.301416717389747	0.0633007955260318	-1.1278451602211	7.86875647274776e-16
M8Y62_21865	nhaA	Na+/H+ antiporter NhaA	-1.67245016528244	3.16460089304761e-15	2.14542489609731	1.0862619653579e-37	0.469870774649331	0.000692609282460464
M8Y62_25575	glnL	nitrogen regulation protein NR(II)	-2.21352960741049	4.03309976882652e-15	1.29270162506345	1.18562812948552e-13	-0.921596367467187	5.64171477435201e-06
M8Y62_10125	cspE	transcription antiterminator/RNA stability regulator CspE	3.35161213837284	4.06331975705837e-15	-3.36572144196132	2.62084341672515e-22	-0.0212631785740474	0.922989440454701
M8Y62_22390	M8Y62_22390	YfaZ family protein	-2.72433449697147	4.29038415920594e-15	2.10447066870909	2.11178629903354e-17	-0.622154053858631	0.00237970064393423
M8Y62_01750	M8Y62_01750	intracellular growth attenuator family protein	-0.994504840644081	4.36750291758989e-15	1.21996779583316	8.30779590879071e-25	0.22310350143283	0.0824331266211075
M8Y62_07165	ypdK	membrane protein YpdK	2.78445848182617	4.46029807179293e-15	-0.347911772956857	0.24563222893696	2.42711369427838	1.63610023349043e-19
M8Y62_03280	rpsU	30S ribosomal protein S21	1.50588544919633	4.84626989381327e-15	-0.406371306353755	0.0164317018833059	1.09584466581424	8.0751503020061e-17
M8Y62_21340	M8Y62_21340	YacC family pilotin-like protein	1.64995151445396	4.9428369806972e-15	-0.896571185002488	7.54845326446128e-06	0.751981848764822	9.24246438301038e-10
M8Y62_23710	asd	archaetidylserine decarboxylase	-1.58516003696245	5.20388112219762e-15	1.78259892538896	4.33148710299894e-40	0.195180593665855	0.277296092001938
M8Y62_25315	ftsN	cell division protein FtsN	-1.63091854880668	5.63977019835609e-15	2.59120247425492	3.99455409380833e-47	0.956747245905126	5.0626206049145e-11
M8Y62_08200	fruB	fused PTS fructose transporter subunit IIA/HPr protein	-2.85590063767801	6.11855165724523e-15	5.23700237610481	3.52630949097599e-80	2.38079089671757	1.91651965366408e-25
