Geneid	gene_name	product	interaction_log2FC	interaction_padj	NK01067_log2FC	NK01067_padj	dwbbM_log2FC	dwbbM_padj	theme	curated_theme
M8Y62_01935	fkpA	FKBP-type peptidyl-prolyl cis-trans isomerase	1.65757260619966	3.26339811876676e-05	-1.00968801053139	0.0034806495122436	0.641789073693826	1.94435127184721e-07	Metabolism	Metabolism
M8Y62_21555	M8Y62_21555	peptidoglycan glycosyltransferase FtsI	1.04311253553797	4.19895248961211e-05	-0.721972301706228	0.0017249900437798	0.316917636098209	0.0038637283883077	Envelope/cell surface	Envelope/LPS/cell wall
M8Y62_26845	M8Y62_26845	hypothetical protein	1.55519160405307	5.80176507153511e-05	-0.746709615529607	0.0136755683409771	0.806666360128909	0.0080032168965834	Other/unclear	Uncharacterized
M8Y62_13340	M8Y62_13340	substrate-binding domain-containing protein	1.95171509603507	6.02978936658562e-05	-0.931850932235032	0.0141205813763612	1.01812454027872	0.0001144873796692	Other/unclear	Transport/secretion
M8Y62_18985	nfsB	oxygen-insensitive NAD(P)H nitroreductase	-1.0011045810176	6.89501250010996e-05	0.60843689566678	0.0021806439791103	-0.395090041228844	0.0461467741003334	Other/unclear	Oxidative/redox stress
M8Y62_06065	rpoE	RNA polymerase sigma factor RpoE	0.892525970761523	7.38743573547984e-05	-0.610035226073073	0.0013000411776592	0.279257476937508	0.0402205985374529	Transcriptional regulation	Transcriptional regulation
M8Y62_24635	rplL	50S ribosomal protein L7/L12	1.07969952603143	8.18074220994554e-05	-0.655668886989735	0.0015857531798379	0.418620319477797	0.0086258930129406	Translation/ribosome	Translation/ribosome
M8Y62_04335	M8Y62_04335	LysR family transcriptional regulator	-0.914077846672996	0.0001029913315512	0.456062737534855	0.019968058803822	-0.457756155252343	0.022681008874103	Transcriptional regulation	Transcriptional regulation
M8Y62_07950	yfaU	2-keto-3-deoxy-L-rhamnonate aldolase	-2.37720279854899	0.0001036127498426	1.9287093565648	6.33487734408011e-05	-0.451520086145275	0.0497137818447848	Other/unclear	Metabolism
M8Y62_19550	M8Y62_19550	ABC transporter permease	-1.28278344204791	0.0001204899070616	0.734560680304212	0.0108005174927202	-0.553548688819118	7.23282253388287e-05	Transport	Transport/secretion
M8Y62_03030	uxaC	glucuronate isomerase	-1.41039040281898	0.0001880283531936	0.812560938177357	0.0174981539988003	-0.599534532704219	3.59559363170341e-08	Metabolism	Metabolism
M8Y62_05950	pheA	bifunctional chorismate mutase/prephenate dehydratase	-0.868491664243436	0.0003666514925784	0.401037306029418	0.0498513489601169	-0.470025691142031	0.0010185484455411	Other/unclear	Metabolism
