Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
M8Y62_26900	826.939225048559	-1.83137182941778	0.214821998776011	-8.52506651950159	1.52722026520834e-17	1.27356680475654e-16
M8Y62_21440	806.556705136965	-1.10734315825723	0.129906200080796	-8.52417480896611	1.53903048401576e-17	1.28139435732147e-16
M8Y62_26570	1829.80821921716	-1.57581330208353	0.18508338047745	-8.51407240357554	1.67929073354572e-17	1.39597643211576e-16
M8Y62_26800	1310.86493641924	-0.925675862401975	0.108775856548798	-8.50993861847191	1.74025455949413e-17	1.4443839648423e-16
M8Y62_26650	3582.38214136782	-1.07325396428844	0.126203293336069	-8.50416764822812	1.82903070452382e-17	1.51568735655445e-16
M8Y62_15895	400.537059145884	-1.50754788665779	0.177613084538523	-8.48781997438265	2.10549395862201e-17	1.74205736451246e-16
M8Y62_10680	683.923288846416	1.37730840397196	0.162456146606635	8.47803196580134	2.29035048479972e-17	1.89204422080252e-16
M8Y62_20670	554.197932838425	1.14466098880906	0.135096687249429	8.47290197942209	2.39353983998646e-17	1.97420360904967e-16
M8Y62_03505	510.772232875538	-1.47235092651013	0.174063818359255	-8.45868452380669	2.70410481652983e-17	2.22688507242885e-16
M8Y62_27405	72.9613817615039	-2.33157454891692	0.275935281338952	-8.44971522888684	2.92014204311794e-17	2.40105614027442e-16
M8Y62_05080	196.439358383285	-1.81658461155091	0.215084287232669	-8.44591966676675	3.01661089433228e-17	2.47652512396503e-16
M8Y62_18825	459.351033776432	-1.86321622843802	0.220615145506117	-8.44554993794095	3.02617437748976e-17	2.48052464089742e-16
M8Y62_11905	565.175691736104	-1.78636051899392	0.211583060912851	-8.4428333312075	3.0973659354158e-17	2.53494948924819e-16
M8Y62_00290	507.949126066744	-1.16794389073907	0.138362861310201	-8.44116607360849	3.14187371515109e-17	2.56740128779039e-16
M8Y62_26580	1072.11554164165	-1.41595164312995	0.167789696194227	-8.43884740986061	3.20482147098539e-17	2.61479801189811e-16
M8Y62_17555	844.724330825415	-1.31628706779237	0.156020753495036	-8.43661524704948	3.26659567098205e-17	2.66109265215441e-16
M8Y62_02785	127.588175357965	1.95176794369617	0.231568193481408	8.42848024313352	3.5018327901076e-17	2.8483369171229e-16
M8Y62_00625	1187.97182016145	-1.36794856248919	0.162709007654296	-8.40733148219818	4.19444383083269e-17	3.40645538150729e-16
M8Y62_26175	265.602466126597	-1.95995254814922	0.233224221510014	-8.40372640311315	4.32529731448983e-17	3.50733848185701e-16
M8Y62_21705	692.777889082808	1.32285235220654	0.157493253176989	8.39942235950854	4.4868025969252e-17	3.63272975956256e-16
M8Y62_19910	113.509589878917	-2.08756799162881	0.248573650579828	-8.39818696293558	4.53424857745997e-17	3.66553092187016e-16
M8Y62_02190	755.136990482956	1.79204878434354	0.213773609264093	8.38292804482553	5.16270389840111e-17	4.16720847493842e-16
M8Y62_12590	50.7382960770076	3.79142986899118	0.45254875753839	8.37794780304872	5.38585191785721e-17	4.34070108074864e-16
M8Y62_03760	223.12788776581	1.67462528431742	0.200056461473931	8.37076329341972	5.72461999867449e-17	4.60670714352999e-16
M8Y62_07980	163.400088217269	3.25259047009571	0.388636315751189	8.36923966770533	5.79911949379382e-17	4.65249541178876e-16
M8Y62_25355	4983.48812073478	-1.19858637396165	0.14321046228674	-8.36940510367051	5.7909842506171e-17	4.65249541178876e-16
