Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
M8Y62_07535	49.6955281396615	0.752444932929626	0.271252900735084	2.77396087153549	0.00553783384742242	0.0113428973655644
M8Y62_23965	52.8379775652818	0.709131335591892	0.255645154801522	2.77388920647625	0.00553905388529078	0.0113428973655644
M8Y62_07370	8.99159566563732	-1.65526428307893	0.597103572507927	-2.77215605347421	0.00556863333355115	0.0113990400289359
M8Y62_00400	24.9755465794287	-1.02893097288311	0.371368432813007	-2.77064737325479	0.00559449769649905	0.0114430933085611
M8Y62_23405	99.7082095500332	-0.614488775820873	0.221776163296785	-2.77076114351637	0.00559254348111857	0.0114430933085611
M8Y62_01870	153.1625126748	0.478962693911609	0.172907093620394	2.7700580923715	0.00560462955294309	0.0114593686901269
M8Y62_00080	77.3914056674844	0.726624910321019	0.262399360039367	2.76915656429956	0.00562016210070582	0.0114866695533821
M8Y62_16425	37.6465792035727	-0.916947175188681	0.33159725046645	-2.76524360168497	0.00568803011229355	0.0116204132746792
M8Y62_25265	57.7847869185	-0.72127092422681	0.260845208895711	-2.76513004505742	0.00569001067539805	0.0116204132746792
M8Y62_06865	81.3896278476039	-0.681067072598846	0.24631947112079	-2.76497456534755	0.00569272343594591	0.0116214489670666
M8Y62_09360	14.3673775817049	-1.280013840694	0.463904177475292	-2.75922033653636	0.00579394551826733	0.0118235084956431
M8Y62_09490	22.0642808297966	-1.02775422327925	0.372532695315517	-2.75882959053781	0.00580087757837973	0.0118284922447689
M8Y62_16320	356.451295884261	-0.494975179469612	0.179410146027612	-2.75890294071458	0.0057995757339804	0.0118284922447689
M8Y62_05270	15.9753160716661	1.59796415373881	0.579321146967936	2.75833906996538	0.00580959028228813	0.0118370963640279
M8Y62_08380	739.343695546282	0.324206331286219	0.117531615115322	2.75846061477254	0.00580743028539316	0.0118370963640279
M8Y62_26285	124.795934290047	0.545400236646064	0.197753881297686	2.75797487800026	0.00581606674732582	0.0118457115159102
M8Y62_11300	3.08092277766726	3.83067921412989	1.3904459145928	2.75500051740719	0.00586920426540705	0.0119493188850192
M8Y62_04730	100.474970601867	0.548988608528967	0.19944941815847	2.75252048162294	0.00591384470467699	0.0120282383368991
M8Y62_05670	31.4146939149153	-0.894991991641234	0.325150312593106	-2.75254845829175	0.00591333942513315	0.0120282383368991
M8Y62_06935	63.9418986153562	-0.625486527405995	0.227245810305265	-2.7524667080364	0.00591481600510638	0.0120282383368991
M8Y62_14320	108.561202917449	-0.507492402389366	0.184411087725593	-2.75196252377472	0.00592392997027244	0.012042124619354
M8Y62_23625	95.9983436465967	-0.550108854853482	0.199914216830368	-2.75172453252918	0.00592823645150253	0.0120462313393625
M8Y62_06440	6.94134763532584	-1.92749014844061	0.700640597165266	-2.75103977165907	0.00594064302663717	0.0120667880136281
M8Y62_26415	137.975918475487	-0.467341049996846	0.170181942072436	-2.74612596557352	0.00603036049028644	0.0122443042093716
M8Y62_00430	70.1992314272752	-0.626369258011334	0.228104682690046	-2.74597281662323	0.00603317623281837	0.0122453026081356
M8Y62_03325	49.3932633678763	0.77047791525444	0.280598496675719	2.74583764482838	0.00603566243771068	0.0122456316458597
M8Y62_00370	48.1204244740914	-0.730157775734463	0.265965985318396	-2.7453050992982	0.00604546649237807	0.0122608017507083
M8Y62_21585	327.236105160891	-0.400534195247363	0.145957077137628	-2.74419166992282	0.00606601086769625	0.0122977342292772
M8Y62_05965	2184.9078373735	0.299392086609135	0.10916165902516	2.74264874025166	0.00609458410027978	0.0123509090862978
M8Y62_19730	193.072440123356	-0.514829765845151	0.187787864618665	-2.74154971031062	0.00611501070272442	0.0123875399433506
M8Y62_25550	104.908725978783	-0.553681863751088	0.202348673721081	-2.73627621851521	0.00621388428323897	0.012582996267635
M8Y62_14470	92.6774250908596	0.697701477882097	0.255137157503219	2.73461335349906	0.00624535878067166	0.0126418729986012
M8Y62_15595	17.8029653545785	1.16864574217016	0.427594817487638	2.73306806905802	0.006274736309331	0.0126916373204217
M8Y62_20820	281.545312135387	0.386240241955647	0.141321187274186	2.73306677792254	0.00627476090713578	0.0126916373204217
M8Y62_01860	149.840008123184	-0.488872664008354	0.1789050272817	-2.73258203772321	0.00628400197237491	0.0127054514169008
M8Y62_19565	212.090277510639	-0.445998318173401	0.163279978823753	-2.73149421861954	0.00630478471472814	0.01274258176521
M8Y62_21960	120.401360169584	0.533637019383094	0.195375436648885	2.7313414036899	0.00630770918863354	0.0127436041851649
M8Y62_16990	177.640861568993	0.453342036864514	0.166005074136408	2.73089265025718	0.0063163042019084	0.0127560777462075
M8Y62_16500	17.0363800890494	1.20757742599804	0.442922825332533	2.72638337184684	0.00640325773142516	0.0129267298800303
M8Y62_12860	173.127954125089	-0.461541408648411	0.169432716686004	-2.72403947523163	0.0064488797977727	0.013013844371683
M8Y62_03100	17.3621696184669	1.38595543352358	0.509284636079385	2.72137687913198	0.00650105970677737	0.0131141208250421
M8Y62_01060	166.260300877269	-0.456228848113133	0.167764274251336	-2.71946366500912	0.00653878784880232	0.0131851791715803
M8Y62_17000	65.1975264927062	0.642477784604081	0.236519020600153	2.71638950209514	0.00659982218691707	0.0133031610952051
M8Y62_04370	347.183028387062	0.35160543540328	0.129521437057939	2.71465051183762	0.00663457445743011	0.0133647651405828
M8Y62_22880	18.824295987715	1.22646139379673	0.451800813454191	2.71460643113933	0.0066354575076418	0.0133647651405828
M8Y62_05605	33.9703958986494	-0.84196945810911	0.310184202041513	-2.71441760272635	0.00663924142437753	0.0133672766775106
M8Y62_01810	739.230673143316	-0.355143283275005	0.130852615353007	-2.71407095927674	0.00664619283356443	0.0133761612070477
M8Y62_08050	175.10410367107	0.523778675857587	0.193073601540332	2.7128445923156	0.00667083832259754	0.0134206365489754
M8Y62_00815	848.061089325329	0.365095615510178	0.134696506269838	2.71050545868487	0.00671807427331036	0.0135105089107146
M8Y62_23665	439.042333656137	0.342964349346699	0.126616452528555	2.70868708211006	0.00675500164059403	0.0135795893339527
M8Y62_27415	22.8229481826739	1.05888330620461	0.391164459548182	2.70700284843793	0.00678936748456062	0.0136434695942601
M8Y62_02955	24.0846409162109	1.01735442601617	0.375907211196864	2.70639773782731	0.00680175274107272	0.0136631472332109
M8Y62_10220	520.545241539495	0.379536224860978	0.140302121419318	2.70513532526473	0.00682765687862185	0.0137099558282997
M8Y62_27470	29.2769946108064	-0.937403354484804	0.346750090828676	-2.70339757444493	0.00686345974116521	0.0137765978575998
M8Y62_27020	23.2677854812357	1.05079288262235	0.389030396856542	2.70105598717478	0.00691197020862761	0.0138686866067246
M8Y62_13690	27.1705396524513	0.953753835139567	0.353339866808958	2.6992533951886	0.00694952393914685	0.0139387292102645
M8Y62_19715	292.059833018777	-0.432882184894614	0.16046733843422	-2.6976342296103	0.00698341245018804	0.0140013699391327
M8Y62_10155	2247.0333008867	0.386396320984191	0.143252080765969	2.69731733681026	0.00699006223449837	0.0140093715913168
M8Y62_08285	322.390805981919	0.476950218352769	0.176864563949886	2.6966974486077	0.00700308662058373	0.014030138176371
M8Y62_24355	254.954308897204	0.409332380479925	0.15183323035597	2.69593408188875	0.00701915555695246	0.0140569861762001
M8Y62_24630	14213.502261727	0.407823803844818	0.151281876357582	2.69578758317917	0.00702224315191568	0.0140578264313996
M8Y62_04755	1994.56960655779	-0.362942393270261	0.134752112657308	-2.69340781463864	0.00707257007858402	0.0141531985355333
M8Y62_07075	1046.79671089374	-0.321655199876478	0.119504920001142	-2.69156449687096	0.00711177455929768	0.0142262491089368
M8Y62_20775	275.5551830498	0.382009002605252	0.142045731699191	2.68933813100579	0.0071593859330799	0.0143160548316501
M8Y62_24420	27.5873578049198	-0.920863025877655	0.343112193915406	-2.68385397606911	0.00727788861050136	0.0145474943432214
M8Y62_05810	22.7066448241725	-0.978579324682038	0.364804386740651	-2.68247685677567	0.00730792080448665	0.0146004231284951
M8Y62_24840	372.314909803418	0.41084100899862	0.153162533956815	2.68238581841731	0.0073099100802752	0.0146004231284951
M8Y62_23620	190.035546520646	0.448912290848254	0.16737981310774	2.6819978019649	0.00731839406278146	0.0146118296009077
M8Y62_19790	190.742083049462	-0.41812905865269	0.156076764736723	-2.67899619368718	0.00738432332667812	0.0147378786394951
M8Y62_09065	12591.769310354	0.552127461896946	0.206185484592199	2.67781926059908	0.00741031931636679	0.014780460704816
M8Y62_20600	449.132461146212	-0.36722688184349	0.137138743812457	-2.67777632807902	0.00741126915584053	0.014780460704816
M8Y62_07855	594.211353525907	0.391950471549062	0.146408222204304	2.67710696604265	0.00742609225843857	0.0148044192620934
M8Y62_16730	74.4146839617384	0.611454861848703	0.228455390141042	2.67647378103536	0.00744013868531313	0.0148268119262159
M8Y62_18215	2280.47167126874	-0.305860630581236	0.114332109170566	-2.67519450835057	0.00746859049770096	0.014877884057613
M8Y62_18840	224.025550499203	-0.51727851275537	0.193514331950579	-2.67307598120162	0.00751592249436849	0.0149665138408267
M8Y62_03675	241.931856431485	-0.393980708249827	0.147493034753896	-2.67118178771774	0.00755847001579537	0.0150455528950607
M8Y62_26625	255.180063272846	-0.404193017827433	0.151656943890332	-2.66517976334614	0.00769471785759448	0.0153109774892996
M8Y62_08770	1421.50128820745	-0.396638227795294	0.148930469107614	-2.66324433255287	0.00773911974127483	0.0153935152573715
M8Y62_22675	68.8535341739639	0.640872596398061	0.240663702969807	2.6629383180332	0.00774616118707502	0.0154017069036597
M8Y62_16870	18.4928238472846	1.15597570162492	0.43423412123055	2.66210241228641	0.00776542478776947	0.015434184536687
M8Y62_01815	539.811242490167	-0.334507191647849	0.125709184403425	-2.66096063891681	0.00779180652151282	0.015480780000698
M8Y62_11940	32433.4121382945	-0.313838454016089	0.118081087159321	-2.65782151541883	0.00786475326175099	0.0156198209333456
M8Y62_20040	415.013641614141	-0.344643855717907	0.129897282564944	-2.65320296862715	0.00797319106640762	0.0158292176823292
M8Y62_07145	207.17254005215	-0.41602493832544	0.15692753417914	-2.65106401181661	0.00802386325897484	0.0159238175184702
