	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
M8Y62_09095	461.115998108262	1.64456114237272	0.286265988313484	5.74487088760191	9.19911511257315e-09	1.23514381448362e-07
M8Y62_09100	1981.70518430447	1.94164548656025	0.26184694191073	7.41519252580083	1.21448251530381e-13	3.52863581085813e-12
M8Y62_09105	11.3068643423504	1.75657942496794	0.679822651651379	2.5838789288662	0.0097696082522535	0.0296828611869896
M8Y62_09160	47.1896900360448	2.67093883846299	0.360995958387412	7.39880537830454	1.37415073924832e-13	3.92815025837812e-12
M8Y62_09310	204.008691621833	1.11625248419206	0.239715862383685	4.65656495607872	3.21528867115386e-06	2.68378176837128e-05
M8Y62_09355	3.8353009570227	4.35600596069733	1.30769340584563	3.33106058440394	0.00086515770828149	0.00384297705508161
M8Y62_09405	32.844514242452	1.40619428858615	0.487790936251887	2.8827806834443	0.00394181780403834	0.0138890956024333
M8Y62_09410	98.5917280307116	1.41197224285921	0.249142819131408	5.66732064677519	1.4504775336084e-08	1.90895768470194e-07
M8Y62_09450	57.9669312664494	1.27090303342528	0.366311639385653	3.46945850685152	0.000521508615294585	0.00246695845864885
M8Y62_09470	8006.5121062829	2.50936362155732	0.128470322243413	19.5326327336738	5.79722958271766e-85	1.54119348456549e-81
M8Y62_09475	1509.55584156636	1.02332723719625	0.127665282659632	8.01570494246695	1.09507104062938e-15	4.34514382315406e-14
M8Y62_09490	43.3152958726819	1.24987058262922	0.389543806054433	3.20854949611128	0.00133406344522342	0.00554157448301008
M8Y62_09495	164.077610813299	1.1903887391658	0.230478131722821	5.16486631624293	2.40610825584581e-07	2.53834872943099e-06
M8Y62_09500	71.7717317242169	1.31547692053233	0.309365450506344	4.25217786400926	2.11701612688227e-05	0.000147139539171673
M8Y62_09505	71.7280313915881	1.87889623379013	0.422463091498332	4.44748019791819	8.6883465566218e-06	6.68537462251203e-05
M8Y62_09545	98.1404015620578	1.11853157124492	0.338840926158243	3.30105216015894	0.00096322973428987	0.00421175369837108
M8Y62_09570	644.743116631748	1.19812151854948	0.341759391281807	3.50574570622857	0.000455330018071345	0.00219491360479179
M8Y62_09605	40.5578638377694	2.52307733166507	0.430990369159272	5.85413854278647	4.79488804304508e-09	6.6785252567292e-08
M8Y62_09680	248.090528033	1.40862959619025	0.279801310619736	5.03439241606929	4.79366799912523e-07	4.7375339686522e-06
