Geneid	SRR35308233	SRR35308234	SRR35308235	SRR35308236	SRR35308237	SRR35308238	SRR35308239	SRR35308240	SRR35308241	SRR35308242	SRR35308243	SRR35308244
M8Y62_20465	18	31	31	44	49	46	66	65	60	61	64	367
M8Y62_20470	16	7	7	6	7	8	20	24	14	9	7	50
M8Y62_20475	22	13	7	12	10	7	32	25	30	7	12	31
M8Y62_20480	10	15	18	9	7	14	42	40	25	2	7	10
M8Y62_20485	14	12	14	25	16	21	27	34	31	18	10	12
M8Y62_20490	32	32	20	22	32	31	57	51	33	19	37	18
M8Y62_20495	16	18	11	18	5	8	53	32	30	17	16	13
M8Y62_20500	9	7	4	2	4	4	21	7	17	5	4	3
M8Y62_20505	58	49	46	42	63	60	67	38	50	79	78	100
M8Y62_20510	43	26	28	12	23	23	57	33	33	73	75	54
M8Y62_20515	7	4	7	3	5	5	24	9	10	7	8	4
M8Y62_20520	7	8	7	7	10	2	34	23	21	3	7	2
M8Y62_20525	14	14	13	5	5	6	29	26	9	3	11	4
M8Y62_20530	17	11	14	4	10	4	49	29	24	6	4	3
M8Y62_20535	9	7	2	4	2	2	18	9	16	0	0	2
M8Y62_20540	34	49	36	41	46	51	106	92	83	48	72	67
M8Y62_20545	59	52	53	38	38	53	121	95	91	21	21	12
M8Y62_20550	137	179	183	180	171	140	490	358	308	254	254	158
M8Y62_20555	129	123	115	56	56	46	358	199	184	69	102	61
M8Y62_20560	457	500	506	379	425	469	1537	1103	974	351	371	289
M8Y62_20565	347	373	308	290	327	400	1216	841	851	230	310	390
M8Y62_20570	393	400	341	312	383	374	619	383	473	565	731	570
M8Y62_20580	49	79	41	78	87	61	138	101	80	186	186	109
M8Y62_20585	9	16	5	26	46	15	41	76	17	48	43	30
M8Y62_20590	245	258	236	388	486	385	233	113	144	513	553	484
M8Y62_20595	114	103	105	78	125	101	258	178	137	191	256	125
M8Y62_20600	392	474	491	437	473	426	1584	1342	958	423	486	421
M8Y62_20605	21	19	29	11	8	11	53	34	28	8	9	10
M8Y62_20610	57	61	57	21	35	31	129	81	85	36	45	29
M8Y62_20615	48	61	50	32	26	30	141	112	81	19	22	17
M8Y62_20620	57	61	38	30	28	23	125	68	50	22	26	24
M8Y62_20625	553	560	530	419	458	463	860	586	537	404	417	269
M8Y62_20630	270	277	245	201	162	183	1463	1219	1391	200	161	221
M8Y62_20635	66	55	61	30	34	45	250	179	290	30	36	91
